nivel,ciclo,centro,via_a,via_a1,via_a2
Grado Superior,Agencias de viajes y gestión de eventos,IES TETUAN DE LAS VICTORIAS,,18.25,7.89
Grado Superior,Alcalá de Henares,"12 19,43 18,5",,,
Grado Superior,Alcalá de Henares,"14,94 13,14 11,08",,,
Grado Superior,Alcalá de Henares,"16,38 15,63 13,6 16,67",,,
Grado Superior,Alcalá de Henares,"17,94 20,46 16 18,42",,,
Grado Superior,Alcalá de Henares,"18 20,38 14,45 17,6",,,
Grado Superior,Alcalá de Henares,"20,31 19,54 15,52 17,5",,,
Grado Superior,Alcalá de Henares,7 17,,,
Grado Superior,Alcalá de Henares,"7,94 12,3 7",,,
Grado Superior,Alcobendas,"12,67 17,5 13,17",,,
Grado Superior,Alcobendas,"15,67 16,86 17,36",,,
Grado Superior,Alcobendas,"16,41 15,5 13,56",,,
Grado Superior,Alcobendas,"7 15,73 14,86",,,
Grado Superior,Alcorcón,10 19,,,
Grado Superior,Alcorcón,"12,88 19,69 7,4 19,25",,,
Grado Superior,Alcorcón,"17,63 18,82 16,71",,,
Grado Superior,Alcorcón,"19,31 19,69 14,36",,,
Grado Superior,Alcorcón,"7 13,91 12,78",,,
Grado Superior,Algete,"10 15,83 15,5",,,
Grado Superior,Anatomía patológica y citodiagnóstico,IES ANTONIO MACHADO,,21.25,16.1
Grado Superior,Anatomía patológica y citodiagnóstico,IES ANTONIO MACHADO,,21.13,15.14
Grado Superior,Anatomía patológica y citodiagnóstico,IES BENJAMIN RUA,,19.39,21.2
Grado Superior,Anatomía patológica y citodiagnóstico,IES HUMANEJOS,,20.44,20.27
Grado Superior,Anatomía patológica y citodiagnóstico,IES JUAN DE MAIRENA,,20.56,19.92
Grado Superior,Anatomía patológica y citodiagnóstico,IES LAS MUSAS,,14.3,19.9
Grado Superior,Anatomía patológica y citodiagnóstico,IES MORATALAZ,,13.55,20.71
Grado Superior,Anatomía patológica y citodiagnóstico,IES PRADO DE SANTO DOMINGO,,19.28,20.29
Grado Superior,Anatomía patológica y citodiagnóstico,IES SAN JUAN DE LA CRUZ,,20.38,18.14
Grado Superior,Anatomía patológica y citodiagnóstico,IES SIGLO XXI,,19.19,20.54
Grado Superior,"Animaciones 3D, juegos y entornos interactivos",IES ANTONIO GAUDI,,14.09,11.0
Grado Superior,"Animaciones 3D, juegos y entornos interactivos",IES CARLOS MARIA RODRIGUEZ DE VALCARCEL,,13.33,17.0
Grado Superior,"Animaciones 3D, juegos y entornos interactivos",IES CARLOS MARIA RODRIGUEZ DE VALCARCEL,,16.0,14.79
Grado Superior,"Animaciones 3D, juegos y entornos interactivos",IES LUIS BUÑUEL,,13.88,15.0
Grado Superior,Animación sociocultural y turística,IES ALARNES,,9.0,12.73
Grado Superior,Animación sociocultural y turística,IES CIUDAD ESCOLAR,,12.0,15.8
Grado Superior,Animación sociocultural y turística,IES FELIPE TRIGO,,12.08,16.42
Grado Superior,Animación sociocultural y turística,IES JULIO VERNE,,10.13,10.13
Grado Superior,Aranjuez,"12,43 19,18 7,3",,,
Grado Superior,Aranjuez,"18,22 15,73 14,38",,,
Grado Superior,Arganda del Rey,"16,12 18,82 14,08 10",,,
Grado Superior,Arganda del Rey,"18,81 20 12,76 16,86",,,
Grado Superior,Arganda del Rey,"9,12 15,82 16",,,
Grado Superior,Asesoría de imagen personal y corporativa,IES GASPAR MELCHOR DE JOVELLANOS,,7.0,13.58
Grado Superior,Asesoría de imagen personal y corporativa,IES LUIS BUÑUEL,,8.0,13.06
Grado Superior,Asesoría de imagen personal y corporativa,IES MATEO ALEMAN,,8.83,10.14
Grado Superior,Asesoría de imagen personal y corporativa,IES SANTA ENGRACIA,,16.25,16.71
Grado Superior,Asesoría de imagen personal y corporativa,IES SANTA ENGRACIA,,10.15,14.71
Grado Superior,Asesoría de imagen personal y corporativa,IES SANTA ENGRACIA,,7.0,15.0
Grado Superior,Asistencia a la dirección,IES ALARNES,,9.42,15.29
Grado Superior,Asistencia a la dirección,IES ALARNES,,18.38,20.45
Grado Superior,Asistencia a la dirección,IES ALONSO DE AVELLANEDA,,15.5,10.88
Grado Superior,Asistencia a la dirección,IES ALONSO DE AVELLANEDA,,17.63,19.18
Grado Superior,Asistencia a la dirección,IES DE GUADARRAMA,,15.5,18.56
Grado Superior,Asistencia a la dirección,IES JOAN MIRO,,7.0,10.0
Grado Superior,Asistencia a la dirección,IES JOSEFINA ALDECOA,,13.75,14.75
Grado Superior,Asistencia a la dirección,IES JUAN CARLOS I,,15.8,16.6
Grado Superior,Asistencia a la dirección,IES LAZARO CARDENAS,,18.56,18.73
Grado Superior,Asistencia a la dirección,IES LUIS BRAILLE,,13.67,18.91
Grado Superior,Asistencia a la dirección,IES LUIS VIVES,,7.0,13.38
Grado Superior,Asistencia a la dirección,IES LUIS VIVES,,17.67,20.09
Grado Superior,Asistencia a la dirección,IES MORATALAZ,,12.0,12.31
Grado Superior,Asistencia a la dirección,IES PABLO PICASSO,,14.31,16.33
Grado Superior,Asistencia a la dirección,IES SAN JUAN DE LA CRUZ,,16.61,19.45
Grado Superior,Automatización y robótica industrial,IES ANTONIO MACHADO,,12.0,13.83
Grado Superior,Automatización y robótica industrial,IES BARAJAS,,9.0,16.25
Grado Superior,Automatización y robótica industrial,IES ISAAC PERAL,,7.5,17.14
Grado Superior,Automatización y robótica industrial,IES JULIO VERNE,,18.0,18.92
Grado Superior,Automatización y robótica industrial,IES JULIO VERNE,,8.24,11.2
Grado Superior,Automatización y robótica industrial,IES SATAFI,,8.14,11.43
Grado Superior,Automatización y robótica industrial,IES VIRGEN DE LA PALOMA,,12.76,19.5
Grado Superior,Automatización y robótica industrial,IES VIRGEN DE LA PAZ,,7.0,14.62
Grado Superior,Automoción,IES ALARNES,,14.56,14.36
Grado Superior,Automoción,IES BARAJAS,,10.96,16.0
Grado Superior,Automoción,IES FELIPE TRIGO,,11.69,16.56
Grado Superior,Automoción,IES FELIPE TRIGO,,17.31,19.64
Grado Superior,Automoción,IES GASPAR MELCHOR DE JOVELLANOS,,8.55,14.46
Grado Superior,Automoción,IES HUMANEJOS,,11.19,19.27
Grado Superior,Automoción,IES ISAAC PERAL,,10.06,19.2
Grado Superior,Automoción,IES LA POVEDA,,15.0,12.75
Grado Superior,Automoción,IES LAZARO CARDENAS,,15.72,18.9
Grado Superior,Automoción,IES LUIS VIVES,,7.02,12.36
Grado Superior,Automoción,IES LUIS VIVES,,16.75,20.36
Grado Superior,Automoción,IES LUIS VIVES,,13.88,18.82
Grado Superior,Automoción,IES MATEO ALEMAN,,7.0,9.0
Grado Superior,Automoción,IES SAN FERNANDO,,16.0,18.8
Grado Superior,Automoción,IES VIRGEN DE LA PAZ,,10.0,18.64
Grado Superior,Caracterización y maquillaje profesional,CP IFP BARRIO DE BILBAO,,17.89,19.79
Grado Superior,Caracterización y maquillaje profesional,CP IFP BARRIO DE BILBAO,,8.58,15.71
Grado Superior,Caracterización y maquillaje profesional,IES LAS CANTERAS,,13.0,15.73
Grado Superior,Caracterización y maquillaje profesional,IES LAS CANTERAS,,10.0,13.4
Grado Superior,Caracterización y maquillaje profesional,IES LUIS BUÑUEL,,12.44,19.79
Grado Superior,Centrales eléctricas,IES FRANCISCO TOMAS Y VALIENTE,,10.0,10.69
Grado Superior,Ciempozuelos,"16,81 19,31 12,3 17,08",,,
Grado Superior,Ciempozuelos,7 10 12,,,
Grado Superior,Collado Villalba,"12,53 12,7",,,
Grado Superior,Collado Villalba,"12,71 13,36 17,27",,,
Grado Superior,Collado Villalba,"15,47 16,93 15,1 16,54",,,
Grado Superior,Colmenar Viejo,"12 13,2 12",,,
Grado Superior,Colmenar Viejo,"7 12,82 9",,,
Grado Superior,Colmenarejo,"13,81 17 13,5",,,
Grado Superior,Comercio Internacional,IES CIUDAD ESCOLAR,,12.83,19.67
Grado Superior,Comercio Internacional,IES EL LAGO,,7.96,14.36
Grado Superior,Comercio Internacional,IES GREGORIO MARAÑON,,9.11,17.91
Grado Superior,Comercio Internacional,IES LUIS BUÑUEL,,19.0,18.83
Grado Superior,Comercio Internacional,IES MARIA DE ZAYAS Y SOTOMAYOR,,7.0,14.55
Grado Superior,Comercio Internacional,IES PABLO NERUDA,,14.36,14.91
Grado Superior,Comercio Internacional,IES VALLE INCLAN,,10.0,12.86
Grado Superior,Comercio Internacional,IES VIRGEN DE LA PAZ,,18.61,16.82
Grado Superior,Comercio internacional,IES ALONSO DE AVELLANEDA,,18.56,16.45
Grado Superior,Comercio internacional,IES CLARA DEL REY,,18.94,17.45
Grado Superior,Construcciones Metálicas,IES ANTONIO MACHADO,,9.55,12.6
Grado Superior,Construcciones metálicas,IES JUAN DE LA CIERVA,,11.71,13.5
Grado Superior,Coslada,"14,28 15,64 14,55",,,
Grado Superior,Coslada,"16,88 16,25 16,56 14,21 10",,,
Grado Superior,Coslada,"19,44 15,93 17,4",,,
Grado Superior,Des. de apli. multiplataforma y Des. de apli. web,IES CLARA DEL REY,,19.31,20.09
Grado Superior,Des. de apli. multiplataforma y Des. de apli. web,IES CLARA DEL REY,,18.06,16.45
Grado Superior,Desarrollo de aplicaciones multiplataforma,IES ALONSO DE AVELLANEDA,,19.13,19.45
Grado Superior,Desarrollo de aplicaciones multiplataforma,IES ALONSO DE AVELLANEDA,,15.09,18.64
Grado Superior,Desarrollo de aplicaciones multiplataforma,IES ANGEL CORELLA,,8.82,13.0
Grado Superior,Desarrollo de aplicaciones multiplataforma,IES BARAJAS,,18.56,19.45
Grado Superior,Desarrollo de aplicaciones multiplataforma,IES CARMEN MARTIN GAITE,,16.31,19.36
Grado Superior,Desarrollo de aplicaciones multiplataforma,IES CLARA DEL REY,,19.44,19.64
Grado Superior,Desarrollo de aplicaciones multiplataforma,IES DOMENICO SCARLATTI,,12.84,18.71
Grado Superior,Desarrollo de aplicaciones multiplataforma,IES GASPAR MELCHOR DE JOVELLANOS,,20.25,19.27
Grado Superior,Desarrollo de aplicaciones multiplataforma,IES INFANTA ELENA,,15.69,17.0
Grado Superior,Desarrollo de aplicaciones multiplataforma,IES ISLAS FILIPINAS,,11.35,14.55
Grado Superior,Desarrollo de aplicaciones multiplataforma,IES LA ARBOLEDA,,12.94,19.0
Grado Superior,Desarrollo de aplicaciones multiplataforma,IES LAGUNA DE JOATZEL,,18.69,21.0
Grado Superior,Desarrollo de aplicaciones multiplataforma,IES LAS ENCINAS,,10.1,20.0
Grado Superior,Desarrollo de aplicaciones multiplataforma,IES LAZARO CARDENAS,,18.5,20.18
Grado Superior,Desarrollo de aplicaciones multiplataforma,IES LUIS BRAILLE,,16.41,19.18
Grado Superior,Desarrollo de aplicaciones multiplataforma,IES LUIS BRAILLE,,12.72,13.69
Grado Superior,Desarrollo de aplicaciones multiplataforma,IES LUIS VIVES,,19.56,17.91
Grado Superior,Desarrollo de aplicaciones multiplataforma,IES MATEMATICO PUIG ADAM,,16.42,12.8
Grado Superior,Desarrollo de aplicaciones multiplataforma,IES REY FERNANDO VI,,16.13,19.36
Grado Superior,Desarrollo de aplicaciones multiplataforma,IES SAN JUAN DE LA CRUZ,,14.88,14.55
Grado Superior,Desarrollo de aplicaciones multiplataforma,IES VIRGEN DE LA PAZ,,17.41,16.45
Grado Superior,Desarrollo de aplicaciones web,IES CLARA DEL REY,,11.27,14.42
Grado Superior,Desarrollo de aplicaciones web,IES CLARA DEL REY,,13.1,12.69
Grado Superior,Dir. de cocina y Dir. de servicios de restauración,IES ESCUELA SUPERIOR DE HOSTELERIA Y TURISMO,,8.66,20.62
Grado Superior,Dirección de cocina,IES ALPAJES,,7.31,16.45
Grado Superior,Dirección de cocina,IES ESCUELA SUPERIOR DE HOSTELERIA Y TURISMO,,13.7,20.36
Grado Superior,Dirección de cocina,IES ESCUELA SUPERIOR DE HOSTELERIA Y TURISMO,,15.0,19.14
Grado Superior,Dirección de cocina,IES MARIA DE ZAYAS Y SOTOMAYOR,,13.86,19.0
Grado Superior,Dirección de servicios de restauración,IES ALPAJES,,7.0,18.71
Grado Superior,Dirección de servicios de restauración,IES ESCUELA SUPERIOR DE HOSTELERIA Y TURISMO,,12.0,17.0
Grado Superior,Dirección de servicios de restauración,IES ESCUELA SUPERIOR DE HOSTELERIA Y TURISMO,,7.0,15.57
Grado Superior,Diseño en fabricación mecánica,IES LUIS VIVES,,10.37,14.62
Grado Superior,Diseño en fabricación mecánica,IES MIGUEL CATALÁN,,14.11,14.82
Grado Superior,Diseño en fabricación mecánica,IES VIRGEN DE LA PALOMA,,19.0,12.91
Grado Superior,Diseño y amueblamiento,IES LEON FELIPE,,9.66,12.67
Grado Superior,Diseño y amueblamiento,IES VIRGEN DE LA PALOMA,,13.84,12.4
Grado Superior,Diseño y edición de publicaciones impresas y multimedia,IES GUSTAVO ADOLFO BECQUER,,17.22,14.95
Grado Superior,Diseño y edición de publicaciones impresas y multimedia,IES ISLAS FILIPINAS,,19.25,16.45
Grado Superior,Diseño y edición de publicaciones impresas y multimedia,IES LUIS BUÑUEL,,18.76,16.91
Grado Superior,Diseño y edición de publicaciones impresas y multimedia,IES VIRGEN DE LA PALOMA,,8.66,12.8
Grado Superior,Diseño y edición publicaciones impresas y multimedia,IES LUIS BUÑUEL,,11.26,13.5
Grado Superior,Diseño y gestión de la producción gráfica,IES ISLAS FILIPINAS,,19.13,16.09
Grado Superior,Educación Infantil,CP IFP BARRIO DE BILBAO,,7.0,13.45
Grado Superior,Educación Infantil,IES ALARNES,,18.81,17.0
Grado Superior,Educación Infantil,IES JULIO VERNE,,18.38,15.92
Grado Superior,Educación Infantil,IES LUIS BUÑUEL,,18.25,15.29
Grado Superior,Educación Infantil,IES SAN BLAS,,8.46,12.18
Grado Superior,Educación Infantil,IES VIRGEN DE LA PAZ,,14.06,14.62
Grado Superior,Eficiencia energética y energía solar térmica,IES ANTONIO MACHADO,,7.0,12.91
Grado Superior,Eficiencia energética y energía solar térmica,IES JOAN MIRO,,,
Grado Superior,Eficiencia energética y energía solar térmica,IES LAS CANTERAS,,12.5,12.9
Grado Superior,Eficiencia energética y energía solar térmica,IES PRADO DE SANTO DOMINGO,,10.83,16.0
Grado Superior,Eficiencia energética y energía solar térmica,IES SAN BLAS,,12.0,12.0
Grado Superior,Eficiencia energética y energía solar térmica,IES SAN FERNANDO,,7.0,13.08
Grado Superior,Eficiencia energética y energía solar térmica,IES VICTORIA KENT,,12.0,17.09
Grado Superior,Electromedicina clínica,IES BENJAMIN RUA,,16.06,18.75
Grado Superior,Electromedicina clínica,IES MORATALAZ,,16.13,16.85
Grado Superior,Energías Renovables,IES BARAJAS,,7.0,13.2
Grado Superior,Energías Renovables,IES ISAAC PERAL,,12.0,13.85
Grado Superior,Energías Renovables,IES JOAN MIRO,,10.0,12.08
Grado Superior,Energías Renovables,IES LAS CANTERAS,,7.45,13.25
Grado Superior,Energías Renovables,IES LUIS VIVES,,12.6,13.09
Grado Superior,Energías Renovables,IES PEDRO DE TOLOSA,,10.59,7.0
Grado Superior,Energías Renovables,IES SAN BLAS,,12.95,13.42
Grado Superior,Energías Renovables,IES SATAFI,,7.61,15.0
Grado Superior,Energías Renovables,IES VICTORIA KENT,,12.0,15.85
Grado Superior,Enseñanza y animación sociodeportiva,IES ANGEL CORELLA,,15.76,13.53
Grado Superior,Enseñanza y animación sociodeportiva,IES ANTONIO MACHADO,,18.81,19.29
Grado Superior,Enseñanza y animación sociodeportiva,IES CARLOS BOUSOÑO,,11.38,16.73
Grado Superior,Enseñanza y animación sociodeportiva,IES DOMENICO SCARLATTI,,12.88,7.82
Grado Superior,Enseñanza y animación sociodeportiva,IES DUQUE DE RIVAS,,19.13,19.07
Grado Superior,Enseñanza y animación sociodeportiva,IES EL OLIVO,,18.94,15.82
Grado Superior,Enseñanza y animación sociodeportiva,IES FELIPE TRIGO,,19.12,19.0
Grado Superior,Enseñanza y animación sociodeportiva,IES FELIPE TRIGO,,11.38,15.27
Grado Superior,Enseñanza y animación sociodeportiva,IES GUSTAVO ADOLFO BECQUER,,12.0,18.14
Grado Superior,Enseñanza y animación sociodeportiva,IES INFANTA ELENA,,15.56,16.0
Grado Superior,Enseñanza y animación sociodeportiva,IES LAGUNA DE JOATZEL,,19.31,19.07
Grado Superior,Enseñanza y animación sociodeportiva,IES LAS CANTERAS,,15.56,19.5
Grado Superior,Enseñanza y animación sociodeportiva,IES LEON FELIPE,,17.19,20.21
Grado Superior,Enseñanza y animación sociodeportiva,IES LOS CASTILLOS,,18.69,19.43
Grado Superior,Enseñanza y animación sociodeportiva,IES LUIS BRAILLE,,18.94,18.93
Grado Superior,Enseñanza y animación sociodeportiva,IES ORTEGA Y GASSET,,,
Grado Superior,Enseñanza y animación sociodeportiva,IES PINTOR ANTONIO LOPEZ,,15.63,13.93
Grado Superior,Enseñanza y animación sociodeportiva,IES PIO BAROJA,,15.0,15.0
Grado Superior,Enseñanza y animación sociodeportiva,IES ROSA CHACEL,,10.47,19.57
Grado Superior,Enseñanza y animación sociodeportiva,IES SALVADOR DALI,,16.0,21.71
Grado Superior,Enseñanza y animación sociodeportiva,IES SAN JUAN DE LA CRUZ,,9.38,13.55
Grado Superior,Enseñanza y animación sociodeportiva,IES VIRGEN DE LA PALOMA,,19.19,19.71
Grado Superior,Enseñanza y animación sociodeportiva,IES VIRGEN DE LA PAZ,,,
Grado Superior,Enseñanza y animación sociodeportiva,IES VIRGEN DE LA PAZ,,10.0,16.27
Grado Superior,Estilismo y dirección de peluquería,CP IFP BARRIO DE BILBAO,,7.0,13.38
Grado Superior,Estilismo y dirección de peluquería,IES LUIS VIVES,,7.5,15.0
Grado Superior,Estilismo y dirección de peluquería,IES MATEO ALEMAN,,10.0,15.2
Grado Superior,Estilismo y dirección de peluquería,IES SANTA ENGRACIA,,8.86,13.0
Grado Superior,Estética integral y bienestar,IES GASPAR MELCHOR DE JOVELLANOS,,10.0,14.57
Grado Superior,Estética integral y bienestar,IES ICARO,,7.0,14.55
Grado Superior,Estética integral y bienestar,IES LA ARBOLEDA,,7.74,12.87
Grado Superior,Estética integral y bienestar,IES LAS CANTERAS,,7.69,13.29
Grado Superior,Estética integral y bienestar,IES LUIS BUÑUEL,,8.96,14.79
Grado Superior,Estética integral y bienestar,IES MATEO ALEMAN,,10.0,19.14
Grado Superior,Estética integral y bienestar,IES REY FERNANDO VI,,9.04,16.0
Grado Superior,Estética integral y bienestar,IES SANTA ENGRACIA,,14.17,18.71
Grado Superior,Estética integral y bienestar,IES SANTA ENGRACIA,,9.43,19.93
Grado Superior,Estética integral y bienestar,IES VALLECAS-MAGERIT,,7.0,14.43
Grado Superior,Fabr. de prod. farmacéuticos biotecnológicos y afines,IES MATEO ALEMAN,,15.0,16.86
Grado Superior,Fabr. de prod. farmacéuticos biotecnológicos y afines,IES MATEO ALEMAN,,16.5,15.46
Grado Superior,Formación para la movilidad segura y sostenible,IES ANTONIO MACHADO,,12.0,12.5
Grado Superior,Formación para la movilidad segura y sostenible,IES CIUDAD ESCOLAR,,12.59,10.8
Grado Superior,Formación para la movilidad segura y sostenible,IES FELIPE TRIGO,,15.0,14.82
Grado Superior,Fuenlabrada,"12 13,1 14,71",,,
Grado Superior,Fuenlabrada,"12,54 14,5 12,11 13,31",,,
Grado Superior,Fuenlabrada,"15,06 16,3 15,13",,,
Grado Superior,Fuenlabrada,"16,88 19 17,08 17,67",,,
Grado Superior,Fuenlabrada,"19 19,15 15,75 17,67",,,
